"","age","section","temp","temp.se","dp18sw","Dp17sw","Rhat","n.eff","post_d18p","post_d18p_sd","d18p_eff","post_depth","post_depth_sd","depth_eff","post_RH","post_RH_sd","RH_eff","post_evap","post_evap_sd","evap_eff"
"1",2.797,"Lantian",12.96845,2.76635249156692,-9.7174728824729,-23.7605457491285,1.00980415237688,360,-12.4387475350813,1.33712819151148,"positive",54.553197948965,29.9582514276069,"positive",0.615052674276859,0.202198310332359,"positive",6.23783236936246e-10,2.48212475481423e-10,"positive"
"2",3.0292,"Jiaxian",19.3892452571329,2.63877680629435,-9.73159000595595,-37.0549875214927,1.00292663191176,1200,-13.6851209940186,1.41530071667292,"positive",51.7603401135479,29.4619571013115,"positive",0.572769558392281,0.207416669210688,"positive",5.9411591115757e-10,2.48392716897746e-10,"positive"
"3",3.088,"Lantian",15.68219,3.49593763423229,-9.90772915947591,27.4918140059688,1.00094105926541,5000,-10.3911833890013,0.529986520242141,"positive",67.1159487967456,22.8066507463823,"positive",0.769871403636331,0.115599607255919,"positive",8.01789622336585e-10,1.54765973431514e-10,"positive"
"4",3.4831,"Jiaxian",28.1897397866808,1,-7.95576205113635,-47.3215440238843,1.00866996960471,370,-12.9333326044087,1.46887765767113,"positive",47.8503458394917,29.9104183292764,"positive",0.559035830894458,0.207617912700538,"positive",5.56716924324158e-10,2.5544011599946e-10,"positive"
"5",3.4831,"Jiaxian",14.6310411502361,4.33725865591146,-9.47643354387795,-32.8077429491276,1.00155772248277,2800,-13.02867948943,1.41414918211344,"positive",53.3491514367256,29.5590404394585,"positive",0.583359254690012,0.205862969402832,"positive",6.07484239279327e-10,2.48555187258157e-10,"positive"
"6",3.548125,"Shilou",21.66162,3.72264791934668,-7.74930168461522,-19.0005393706591,1.00369507724589,1300,-10.1703846330772,1.29330907803005,"positive",56.334658263601,29.2453115188207,"positive",0.621731659800869,0.199291803699387,"positive",6.56604277444123e-10,2.38445464952445e-10,"positive"
"7",3.684,"Lantian",23.93025,3.81037020053662,-8.63345432784365,-27.5470522916198,1.00997345686521,330,-11.733949825976,1.39725383636332,"positive",52.6705994244135,30.367569387573,"positive",0.608977668434543,0.20346112844716,"positive",6.00309025553713e-10,2.53088126337967e-10,"positive"
"8",3.915714,"Shilou",12.71508,4.83003578905431,-9.51487878493231,-16.6743150376896,1.0011882914191,5000,-11.6977529003481,1.2357192022719,"positive",55.752407621053,29.5072774956806,"positive",0.643596160496729,0.192149563512861,"positive",6.5385369001926e-10,2.39659572707576e-10,"positive"
"9",4.3533,"Jiaxian",21.7246221403825,3.49325156474742,-9.03872400456393,-49.6107414149804,1.00707805134988,500,-14.192485901105,1.46478044802014,"positive",48.1466022292515,30.0462020105411,"positive",0.545958956456547,0.20575770997787,"positive",5.57427636822424e-10,2.55015726679026e-10,"positive"
"10",4.505,"Lantian",26.67024,4.63989833207836,-8.89055787826851,-0.266280055645514,1.02618039482537,220,-10.1036212027234,0.973343880957434,"positive",57.9193404062697,29.9044312139373,"negative",0.687180463162007,0.174271770894184,"positive",7.10401419879863e-10,2.28530916856502e-10,"positive"
"11",4.51234358952381,"Shilou",19.46636,3.69254437150249,-8.77972836055418,-19.9855147073107,1.00078362253416,5000,-11.251081680479,1.32266201020146,"positive",54.2101747096601,29.9123348288687,"positive",0.625474611893133,0.197951026926895,"positive",6.40224727876928e-10,2.46585263062949e-10,"positive"
"12",4.8692,"Jiaxian",21.7667081629024,3.49808995740466,-5.06744993251961,-42.6090057823725,1.00235308987265,1600,-9.62551616053089,1.42924069190575,"positive",49.8632532086677,30.104356196004,"positive",0.571601968916919,0.207244516721293,"positive",5.63457681803992e-10,2.50680824284689e-10,"positive"
"13",4.8692,"Jiaxian",17.1038009508383,11.2902963487243,-10.1420846032095,-34.3708820021449,1.00103571336631,5000,-13.8528819556913,1.40783241702824,"positive",51.7305933600323,30.320557914483,"positive",0.578440627594095,0.205393767689714,"positive",6.02393857396458e-10,2.49829871106994e-10,"positive"
"14",5.05268589715384,"Shilou",30.50751,3.63490819323363,-6.39867933208518,-95.2133387302503,1.01211283254,260,-16.389127536939,1.64196430949967,"positive",46.0610326791083,28.1823729477696,"positive",0.466654961974132,0.178807136611372,"positive",4.84848702935437e-10,2.41757731952123e-10,"positive"
"15",5.31,"Lantian",25.03805,4.46333041995058,-7.94973868907391,-4.14056432754073,1.00323908768693,2600,-9.31584800779566,1.02667685430904,"positive",60.513125939049,26.7556443659713,"positive",0.68681960499758,0.169110282719875,"positive",7.20246423219801e-10,2.09935070224672e-10,"positive"
"16",5.6,"Lantian",12.27676,7.43671266937292,-11.4918382901816,-45.554686818833,1.00188443879453,2200,-16.2788811913705,1.44465198731496,"positive",51.2702168677624,29.5245483911614,"positive",0.546697649966432,0.212823174105691,"positive",5.6857158325279e-10,2.5274375197528e-10,"positive"
"17",5.8536,"Jiaxian",15.3018532089633,3.5777715333075,-10.7453043310962,-15.1878318803754,1.00850618187478,500,-12.7853599132272,1.23105581728046,"positive",56.9091053661732,28.8483477111124,"positive",0.640262768997653,0.193848296991864,"positive",6.69579915391548e-10,2.37737298065456e-10,"positive"
"18",5.96659803397297,"Shilou",21.35715,3.31256538870548,-9.27586036931191,-8.06819782121759,1.00332286206502,1400,-10.8837245763861,1.13035802532219,"positive",58.1482279577287,28.3530540979308,"positive",0.666179746526333,0.183222690609329,"positive",7.0075069365915e-10,2.25507572494582e-10,"positive"
"19",6.163,"Lantian",20.2346,4.24802690121891,-9.45149898727894,-29.3800604956751,1.00512290997405,750,-12.7018281823465,1.38186845327357,"positive",53.5114111717825,29.8226987996846,"positive",0.597113953719484,0.204328234704315,"positive",6.17318863542814e-10,2.46758477027834e-10,"positive"
"20",6.59284791525,"Shilou",12.62795,4.72729930843172,-9.8803468907225,-11.7580927930575,1.0063832367869,510,-11.6718272909814,1.17395359924364,"positive",57.9853912806339,28.7096193678649,"positive",0.660962443210707,0.183413441185938,"positive",6.80379370108565e-10,2.31048373878505e-10,"positive"
