age,DTP_HL,DTP_ML,HL_norm,ML_norm
0.1,NA,11.573771422027459,NA,0.7845724598272835
0.2,NA,11.232481221276442,NA,0.7258065202371135
0.30000000000000004,NA,10.706354565821117,NA,0.6352140356500101
0.4,NA,10.11361407257862,NA,0.5331514743989532
0.5,NA,11.028333851130405,NA,0.6906548751119541
0.6000000000000001,NA,10.76891650856375,NA,0.6459864262424356
0.7000000000000001,NA,11.668485507265324,NA,0.8008810505784346
0.8,NA,10.306037128542334,NA,0.5662843380371009
0.9,NA,11.364922191195559,NA,0.7486112126086014
1,NA,12.077181418887779,NA,0.8712534175561677
1.1,NA,10.44897324614909,NA,0.5908961646704122
1.2000000000000002,NA,10.675792275854372,NA,0.6299515883779501
1.3,NA,12.824892546705989,NA,1
1.4000000000000001,NA,10.544821278323154,NA,0.6074000070197767
1.5,NA,11.121752337523986,NA,0.7067403798112681
1.6,NA,10.837178118879555,NA,0.6577402288987059
1.7000000000000002,NA,9.296239422158248,NA,0.39240969739088033
1.8,NA,10.66596227859422,NA,0.6282589847699636
1.9000000000000001,NA,9.130805938580899,NA,0.36392410336941494
2,NA,10.581100224107288,NA,0.6136467915206328
2.1,NA,9.830229613161945,NA,0.4843561852689774
2.2,NA,10.935893450301833,NA,0.6747377846158632
2.3000000000000003,NA,11.370999077195938,NA,0.749657577007019
2.4000000000000004,NA,10.282102685540437,NA,0.5621631238080409
2.5,NA,10.786071582194058,NA,0.6489403171493681
2.6,NA,10.4840091129782,NA,0.596928906392964
2.7,NA,10.451923138868189,NA,0.5914040996094951
2.8000000000000003,NA,10.732185934056716,NA,0.63966187687699
2.9000000000000004,17.416909079013706,10.613528499599866,0.7661634031721387,0.6192305383566589
3,17.201462259486718,11.726031824042483,0.729234986762259,0.8107898125877795
3.1,18.367814662194583,10.883922245127703,0.929152290263991,0.6657889876771566
3.2,17.893089167875694,11.262554013238507,0.8477825082774998,0.7309846820239492
3.3000000000000003,15.986913528184084,10.197446647171777,0.5210566465198473,0.5475864039790846
3.4000000000000004,15.549851162025716,9.504405762247632,0.4461424700654496,0.4282533592935086
3.5,14.79727344233363,8.73719818760086,0.3171477442458569,0.2961497305177598
