,site,age,d18c,d18c.se,temp,temp.sd,d18sw,d18sw.se
65,Lantian,5.6756434,-8.9575,0.10535891,11.40980321,3.712790273,-10.4870056,0.732183384
66,Lantian,5.92946664,-9.236,0.733976839,17.26304162,3.355184349,-9.64075532,0.96186877
67,Lantian,6.02379994,-9.8245,0.109601551,19.96304461,3.749963452,-9.735257353,0.695326073
68,Lantian,6.11813324,-9.8655,0.135057395,19.48457716,4.132059536,-9.83472198,0.77858223
69,Lantian,6.163,-8.856,0.25,19.2570087,4.313791897,-8.876937999,0.844155762
70,Lantian,6.227,-8.417,0.25,15.7325225,3.125403207,-9.109343732,0.644786234
71,Lantian,6.259,-7.2115,0.25,16.50591858,3.16106766,-7.764319734,0.64348431
72,Jiaxian,2.8024,-8.515333299,0.45113934,16.74642131,2.779011611,-9.010262031,0.701291396
73,Jiaxian,2.8267,-8.578574122,0.35117542,16.94134368,2.774900991,-9.046065572,0.629250121
74,Jiaxian,2.8834,-9.352653998,0.385028013,17.39616255,2.765309544,-9.717789165,0.649393091
75,Jiaxian,2.9104,-9.152307342,0.267436973,17.61274297,2.760742189,-9.4804827,0.585688581
76,Jiaxian,3.0292,-9.460520772,0.591429135,18.56569678,2.740645825,-9.603565904,0.793242278
77,Jiaxian,3.075,-9.115755988,0.473413972,14.77333567,3.188997832,-9.989639915,0.77246606
78,Jiaxian,3.10222,-9.075113377,0.484673228,20.01006613,2.866986339,-8.953219321,0.708745542
79,Jiaxian,3.15231,-9.219177611,0.139634932,21.11397805,2.953571933,-8.894631859,0.560399499
80,Jiaxian,3.19885,-8.692691824,0.152905648,22.13965305,3.034020995,-8.174471863,0.573759664
81,Jiaxian,3.3425,-9.15269564,0.055367545,25.30549348,3.282334441,-8.067440573,0.590611496
82,Jiaxian,3.38625,-9.228754023,0.10957879,26.26968087,3.357960708,-7.97183552,0.605481888
83,Jiaxian,3.43625,-8.391019844,0.052707773,27.37160932,3.444390728,-6.938057327,0.610277173
84,Jiaxian,3.44875,-8.87343226,0.027002095,27.64709143,3.465998232,-7.380542239,0.613068945
85,Jiaxian,3.4675,-9.071782245,0.417554009,28.0603146,3.49840949,-7.498735404,0.745767403
86,Jiaxian,3.48313,-8.901936548,0.493067555,28.39654643,3.524764242,-7.257210702,0.79565097
87,Jiaxian,3.49875,-8.963565804,0.025517934,24.45518014,3.206421361,-8.02291778,0.579334819
88,Jiaxian,3.51438,-8.17017854,0.430463762,20.51129057,2.887874676,-7.959091023,0.685609509
89,Jiaxian,3.52688,-8.503819017,0.301655069,20.3290272,3.254048516,-8.329119634,0.675203866
90,Jiaxian,3.53937,-8.777949116,0.051005919,20.15166839,3.6209237,-8.632788908,0.679006846
91,Jiaxian,3.56125,-9.276432342,0.119630917,20.11490825,3.924210367,-9.146222727,0.736160699
92,Jiaxian,3.57688,-8.607894916,0.206246829,20.2191814,3.979134552,-8.461992565,0.760269504
93,Jiaxian,3.63172,-9.121126504,0.290905255,20.58503805,4.171843589,-8.902701871,0.816490238
94,Jiaxian,3.69379,-9.219312456,0.72909246,20.53191667,4.245675043,-8.985328455,1.084840343
95,Jiaxian,3.74552,-8.827367801,0.568510796,18.40829513,3.665064269,-9.019328403,0.897429959
96,Jiaxian,3.7869,-8.468562488,0.074583784,16.7095621,3.200620546,-8.962500838,0.611024802
97,Jiaxian,3.83862,-8.695153888,0.009786043,14.63723003,3.847250207,-9.610174916,0.737159567
98,Jiaxian,3.89034,-8.499363326,0.010365293,12.56489796,4.493879868,-9.803234637,0.874547446
99,Jiaxian,3.90069,-8.590670793,0.456869037,12.15019113,4.623280815,-9.999780558,1.011959946
100,Jiaxian,3.95241,-8.544502582,0.38462696,12.4804756,4.642541468,-9.877371635,0.981911683
101,Jiaxian,4.00414,-8.512510932,0.592049825,13.7946884,4.404900068,-9.588586778,1.037643293
102,Jiaxian,4.05586,-7.148820724,0.610759318,15.10864714,4.167304606,-7.959745896,1.003960309
103,Jiaxian,4.10759,-8.417883752,0.043791789,16.42285993,3.929663206,-8.98208566,0.751089101
104,Jiaxian,4.15931,-8.752219618,0.148764237,17.73681867,3.692067745,-9.055118598,0.707467164
105,Jiaxian,4.20062,-8.368923115,1.058283932,18.78630892,3.502294572,-8.504295221,1.251623827
106,Jiaxian,4.235,-8.235814188,0.327840035,19.65974089,3.344356985,-8.191480819,0.699447497
107,Jiaxian,4.26938,-8.877540462,0.047553121,20.53317286,3.186419399,-8.661900367,0.595399624
108,Jiaxian,4.35333,-8.657429334,0.289407291,22.66585433,2.801071589,-8.053684667,0.585775524
109,Jiaxian,4.49909,-8.987671359,0.541761272,25.94143496,3.629861787,-7.79088927,0.845566982
110,Jiaxian,4.54109,-8.350714088,0.22979273,18.85855048,3.418332807,-8.458750604,0.673269628
111,Jiaxian,4.725,-9.045022367,0.687056922,22.61803118,3.027700561,-8.450653624,0.889350426
112,Jiaxian,4.82769,-9.237947169,0.8654524,24.71721597,2.809582866,-8.255401989,1.010204751
113,Jiaxian,4.86923,-8.642222579,0.908814039,25.56633956,2.721592561,-7.502685007,1.040744491
114,Jiaxian,4.9764,-8.691527972,0.258290963,27.63068401,3.359634039,-7.197950419,0.65162962
115,Jiaxian,5.15647,-7.914002366,0.12221638,23.84530018,3.649623523,-7.097446898,0.667184455
116,Jiaxian,5.23,-8.252583777,0.048326983,20.1223068,3.53330216,-8.120932024,0.659233492
117,Jiaxian,5.27486,-9.209232597,0.446904351,17.85094161,3.462335528,-9.503706331,0.790047233
118,Jiaxian,5.2973,-9.309289617,0.013176292,16.71475269,3.426836393,-9.814692998,0.654136821
119,Jiaxian,5.31973,-9.292149674,0.233006212,19.71072904,3.816395943,-9.235550083,0.753289456
120,Jiaxian,5.43638,-8.82208299,0.414726373,16.30115952,3.895490642,-9.402860942,0.842138495
121,Jiaxian,5.4633,-9.33078343,0.168053779,15.5143133,3.913743787,-10.06497472,0.758207905
122,Jiaxian,5.54405,-9.168926191,0.040825058,13.15406693,3.96849644,-10.35499713,0.782650729
123,Jiaxian,5.70377,-8.838185661,0.1846206,11.36931151,3.603604497,-10.37232494,0.726406964
124,Jiaxian,5.73249,-8.825615685,0.417621066,11.32796554,3.492115179,-10.38316043,0.806335514
125,Jiaxian,5.85362,-9.395317511,0.068439071,11.15522338,3.022061259,-10.97300282,0.598392449
126,Jiaxian,5.87605,-9.198667777,0.282158174,12.96147826,3.120575193,-10.41760406,0.673368585
127,Jiaxian,5.89834,-9.606333207,0.497906762,14.75645914,3.218474239,-10.48759495,0.78896489
128,Jiaxian,5.93305,-9.130016819,0.160370574,17.55160433,3.370922685,-9.482198175,0.658177878
129,Jiaxian,5.96343,-9.237788486,0.106901864,19.998061,3.504353506,-9.128106019,0.653025118
130,Jiaxian,5.9695,-8.867302166,0.25,20.23845906,3.53002209,-8.72343775,0.694843862
131,Jiaxian,5.98946,-9.19042125,0.207359525,20.13722005,3.610869869,-9.064144979,0.70579059
132,Jiaxian,6.04154,-9.505581542,0.062430333,19.87306534,3.821819386,-9.422419927,0.714592101
133,Jiaxian,6.05629,-9.369586911,0.075456272,19.79825194,3.881564113,-9.299939355,0.725954856
134,Jiaxian,6.07625,-9.903937859,0.160539133,19.69701293,3.962411893,-9.842432708,0.756034045
135,Jiaxian,6.16415,-10.34583272,0.097835293,18.982628,4.240012695,-10.42805987,0.802698739
136,Jiaxian,6.18678,-9.400422498,0.063386553,14.76046029,3.080577448,-10.27240028,0.592352468
137,Jiaxian,6.26146,-9.048115518,0.083120924,16.5653734,3.163809364,-9.57350919,0.602913204
138,Jiaxian,6.29029,-9.098760127,0.06475829,17.26215494,3.195940807,-9.496651606,0.609491917
139,Jiaxian,6.3286,-8.950947011,0.25,18.18805506,3.238637844,-9.17155403,0.653045699
140,Jiaxian,6.36266,-9.367706152,0.180955797,19.01123852,3.276598196,-9.446518899,0.639940683
141,Jiaxian,6.40097,-9.630510545,0.25,19.2118462,3.283299952,-9.655335692,0.662533961
142,Jiaxian,6.42226,-9.192155401,0.116002776,19.32290853,3.287003408,-9.202864529,0.624723836
143,Jiaxian,6.44354,-8.839360401,0.01658168,19.43391869,3.290705125,-8.830512263,0.609985337
144,Jiaxian,6.50144,-9.388079353,0.12941783,19.13273465,3.29979173,-9.442134154,0.640118246
145,Jiaxian,6.53465,-9.400000042,0.087044297,16.37715024,3.30078498,-9.976219021,0.626063271
146,Jiaxian,6.58969,-9.575108615,0.32946296,11.81023167,3.302431125,-11.02878075,0.729705963
147,Jiaxian,6.64673,-8.822454649,0.067660568,11.28556821,3.026234713,-10.38191252,0.599433183
148,Jiaxian,6.66207,-8.798367811,0.25,12.09750208,3.101047278,-10.18739737,0.649574117
149,Jiaxian,6.6774,-9.50272826,0.204197381,12.90890665,3.175811074,-10.74172885,0.651442466
150,Jiaxian,6.69273,-8.38683071,0.411302097,13.72031122,3.25057487,-9.47433248,0.75837963
151,Jiaxian,6.70807,-9.189257476,0.25,14.53224508,3.325387436,-10.11328414,0.685934345
152,Jiaxian,6.7234,-9.35165203,0.25,15.34364966,3.400151232,-10.11971327,0.696606574
153,Jiaxian,6.75284,-8.998462953,0.25,16.90188518,3.543728933,-9.475010597,0.71443371
154,Jiaxian,6.7694,-9.292387079,0.232868718,17.77839266,3.624491389,-9.592382706,0.721473041
155,Jiaxian,6.80007,-9.107180995,0.208418157,19.4017311,3.774067751,-9.101907228,0.732369203
156,Jiaxian,6.8154,-8.85875421,0.101162125,20.21313567,3.848831547,-8.703423546,0.716191558
157,Jiaxian,6.84729,-9.504672442,0.384758174,20.16936997,3.768836863,-9.354816073,0.787100461
158,Jiaxian,6.87673,-9.34597299,0.301076601,20.12896664,3.694987898,-9.201635905,0.753621843
159,Jiaxian,6.89943,-9.819372772,0.150507956,20.09781326,3.638045931,-9.685545899,0.692594028
160,Jiaxian,6.91967,-9.09177271,0.135500073,20.07003597,3.587274767,-8.961882347,0.679525478
161,Jiaxian,6.94057,-9.053230646,0.207648252,20.04135289,3.534848022,-8.92641432,0.685710351
162,Jiaxian,6.96509,-9.335170048,0.163245314,18.38481826,3.486166823,-9.523375274,0.670582376
163,Jiaxian,6.96843,-9.02557056,0.234548906,18.15890204,3.479537838,-9.24650315,0.701212538
164,Jiaxian,6.99071,-9.148884424,0.105375548,16.65189206,3.435318138,-9.669835189,0.656581997
165,Jiaxian,6.99629,-9.383027714,0.101987091,16.27446317,3.424243366,-9.978592346,0.656357155
166,Jiaxian,7.02414,-9.097924225,0.184522394,14.3907007,3.368968741,-10.04862653,0.667663345
167,Shilou,2.8358777,-7.599388716,0.25,17.01496258,2.773348479,-8.038195441,0.578630647
168,Shilou,2.8979332,-8.455916922,0.25,17.51274057,2.762851089,-8.806586383,0.581586695
169,Shilou,2.9475776,-8.772406126,0.25,17.91096296,2.754453177,-9.04333486,0.571394936
170,Shilou,2.9599887,-9.114828693,0.25,18.01051856,2.752353699,-9.38175807,0.568585062
171,Shilou,3.05,-9.180813025,0.25,16.84340178,2.944264204,-9.65143954,0.608982425
172,Shilou,3.0775904,-9.025885971,0.25,14.5588437,3.214356152,-9.935188106,0.664776117
173,Shilou,3.0913856,-9.00152123,0.25,15.20199697,3.209134273,-9.794250951,0.670954247
174,Shilou,3.118976,-9.039252321,0.25,20.3793444,2.895950767,-8.858073304,0.593246658
175,Shilou,3.1258736,-9.266804813,0.25,20.53135763,2.907873962,-9.058067365,0.589185616
176,Shilou,3.1672592,-8.658010845,0.25,21.44343703,2.979413126,-8.273663483,0.60230583
177,Shilou,3.170708,-9.04519025,0.25,21.51944364,2.985374723,-8.646264626,0.596676461
178,Shilou,3.2011935,-9.031715719,0.25,22.19130044,3.03807197,-8.513595184,0.608102731
179,Shilou,3.210987,-8.803838684,0.25,22.40713516,3.055001018,-8.24796798,0.616291467
180,Shilou,3.2599545,-9.55815999,0.25,23.48630879,3.139646258,-8.79657657,0.626053004
181,Shilou,3.2795415,-9.261203447,0.25,23.91797824,3.173504353,-8.42346053,0.627907267
182,Shilou,3.367683,-9.376235793,0.25,25.86049076,3.325865785,-8.196907864,0.641498959
183,Shilou,3.426444,-9.219655975,0.25,27.15549911,3.427440072,-7.803529397,0.651545827
